,precision,recall,f1-score,support
0,0.9824380165289256,0.984472049689441,0.983453981385729,966.0
1,0.8979591836734694,0.8859060402684564,0.8918918918918919,149.0
accuracy,0.9713004484304932,0.9713004484304932,0.9713004484304932,0.9713004484304932
macro avg,0.9401986001011975,0.9351890449789487,0.9376729366388105,1115.0
weighted avg,0.9711489168917391,0.9713004484304932,0.9712183299645795,1115.0
