,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__criterion,param_rf__max_depth,param_rf__n_estimators,param_tfidf__ngram_range,params,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,mean_train_recall,std_train_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,mean_train_precision,std_train_precision,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,mean_train_f1,std_train_f1
0,0.06999331712722778,0.0019161032344209745,0.013101756572723389,0.0014892103243586273,gini,5,50,"(1, 1)","{'rf__criterion': 'gini', 'rf__max_depth': 5, 'rf__n_estimators': 50, 'tfidf__ngram_range': (1, 1)}",0.053691275167785234,0.006666666666666667,0.02666666666666667,0.013422818791946308,0.025111856823266217,0.018000411360375387,54,0.053452115812917596,0.002232142857142857,0.046875,0.0467706013363029,0.037332465001590834,0.020445134803857422,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.10191082802547771,0.013245033112582781,0.05194805194805195,0.026490066225165563,0.0483984948278195,0.033881832426867,55,0.1014799154334038,0.004454342984409799,0.08955223880597014,0.08936170212765958,0.07121204983786084,0.03885391718240167
1,0.07676410675048828,0.0010205927865102413,0.013503193855285645,0.00034277115409242205,gini,5,50,"(2, 2)","{'rf__criterion': 'gini', 'rf__max_depth': 5, 'rf__n_estimators': 50, 'tfidf__ngram_range': (2, 2)}",0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0
2,0.11655884981155396,0.004826962471644194,0.014796137809753418,0.0002941500029403937,gini,5,100,"(1, 1)","{'rf__criterion': 'gini', 'rf__max_depth': 5, 'rf__n_estimators': 100, 'tfidf__ngram_range': (1, 1)}",0.020134228187919462,0.04666666666666667,0.04666666666666667,0.013422818791946308,0.031722595078299776,0.01513128060172962,52,0.0334075723830735,0.03571428571428571,0.046875,0.031180400890868598,0.03679431474705695,0.006036818916143585,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.039473684210526314,0.08917197452229299,0.08917197452229299,0.026490066225165563,0.06107692487006946,0.028467588709963267,52,0.06465517241379311,0.06896551724137931,0.08955223880597014,0.06047516198704104,0.0709120226120459,0.011172765738878427
3,0.12525814771652222,0.004078151424162176,0.01624852418899536,0.0004059092019942768,gini,5,100,"(2, 2)","{'rf__criterion': 'gini', 'rf__max_depth': 5, 'rf__n_estimators': 100, 'tfidf__ngram_range': (2, 2)}",0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0
4,0.16255056858062744,0.0053015197604459096,0.01727306842803955,0.0006320936646904118,gini,5,150,"(1, 1)","{'rf__criterion': 'gini', 'rf__max_depth': 5, 'rf__n_estimators': 150, 'tfidf__ngram_range': (1, 1)}",0.0,0.02,0.013333333333333334,0.0,0.008333333333333333,0.008660254037844387,63,0.0022271714922048997,0.020089285714285716,0.017857142857142856,0.031180400890868598,0.017838500238625515,0.01032940319001794,0.0,1.0,1.0,0.0,0.5,0.5,63,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0392156862745098,0.02631578947368421,0.0,0.016382868937048503,0.01700586110117634,63,0.0044444444444444444,0.03938730853391685,0.03508771929824561,0.06047516198704104,0.03484865856591199,0.020011186918215268
5,0.17104429006576538,0.003855083229934227,0.01856517791748047,0.0003714511345193483,gini,5,150,"(2, 2)","{'rf__criterion': 'gini', 'rf__max_depth': 5, 'rf__n_estimators': 150, 'tfidf__ngram_range': (2, 2)}",0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.004454342984409799,0.0011135857461024498,0.0019287870908339388,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,1.0,0.25,0.4330127018922193,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.008869179600886918,0.0022172949002217295,0.0038404674225473996
6,0.07752567529678345,0.0016466184196938325,0.012103557586669922,0.00017691742987183318,gini,10,50,"(1, 1)","{'rf__criterion': 'gini', 'rf__max_depth': 10, 'rf__n_estimators': 50, 'tfidf__ngram_range': (1, 1)}",0.4161073825503356,0.35333333333333333,0.38666666666666666,0.35570469798657717,0.3779530201342282,0.025655407928114108,21,0.44543429844098,0.46875,0.45982142857142855,0.45434298440979953,0.45708717785555203,0.008467847183147633,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.5876777251184834,0.5221674876847291,0.5576923076923077,0.5247524752475248,0.5480724989357613,0.026814211596805897,20,0.6163328197226502,0.6382978723404256,0.6299694189602446,0.6248085758039816,0.6273521717068256,0.007977379642057207
7,0.08549988269805908,0.0013857366994752774,0.013565123081207275,0.00027290937423649666,gini,10,50,"(2, 2)","{'rf__criterion': 'gini', 'rf__max_depth': 10, 'rf__n_estimators': 50, 'tfidf__ngram_range': (2, 2)}",0.04697986577181208,0.03333333333333333,0.04,0.020134228187919462,0.03511185682326622,0.009902475517031283,50,0.0957683741648107,0.033482142857142856,0.08482142857142858,0.0645879732739421,0.06966497971683105,0.02369640701258733,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.08974358974358974,0.06451612903225806,0.07692307692307693,0.039473684210526314,0.06766411997736277,0.01855964563639964,49,0.17479674796747968,0.06479481641468683,0.15637860082304528,0.12133891213389121,0.12932726933477576,0.041915090817838445
8,0.13848966360092163,0.001822118466488436,0.01504504680633545,0.00014151357809081264,gini,10,100,"(1, 1)","{'rf__criterion': 'gini', 'rf__max_depth': 10, 'rf__n_estimators': 100, 'tfidf__ngram_range': (1, 1)}",0.42953020134228187,0.3333333333333333,0.4,0.2953020134228188,0.3645413870246085,0.053030398576008636,22,0.47884187082405344,0.4017857142857143,0.4486607142857143,0.4142538975501114,0.4358855492363984,0.03016279788381725,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.6009389671361502,0.5,0.5714285714285714,0.45595854922279794,0.5320815219468799,0.05725702814434118,23,0.6475903614457831,0.5732484076433121,0.6194144838212635,0.5858267716535434,0.6065200061409755,0.02910434185672368
9,0.13683819770812988,0.0037271164156743282,0.01627326011657715,0.00044825603258728927,gini,10,100,"(2, 2)","{'rf__criterion': 'gini', 'rf__max_depth': 10, 'rf__n_estimators': 100, 'tfidf__ngram_range': (2, 2)}",0.06040268456375839,0.02,0.06,0.013422818791946308,0.03845637583892617,0.02186941355050098,48,0.08463251670378619,0.020089285714285716,0.0625,0.0757238307349666,0.060736408288259616,0.02475351317627477,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.11392405063291139,0.0392156862745098,0.11320754716981132,0.026490066225165563,0.07320933757559953,0.040607275439190994,48,0.15605749486652978,0.03938730853391685,0.11764705882352941,0.14078674948240166,0.11346965292659442,0.04490432194144358
