,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_lr__fit_intercept,param_lr__penalty,param_lr__solver,param_tfidf__max_df,param_tfidf__max_features,param_tfidf__ngram_range,params,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,mean_train_recall,std_train_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,mean_train_precision,std_train_precision,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,mean_train_f1,std_train_f1
12,0.019954800605773926,0.00034123906401192273,0.008640944957733154,0.00014184456588981894,True,l1,liblinear,0.8,1000,"(1, 1)","{'lr__fit_intercept': True, 'lr__penalty': 'l1', 'lr__solver': 'liblinear', 'tfidf__max_df': 0.8, 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 1)}",0.8322147651006712,0.8466666666666667,0.82,0.9060402684563759,0.8512304250559284,0.03302227126094247,73,0.8730512249443207,0.8504464285714286,0.8883928571428571,0.8574610244988864,0.8673378837893732,0.014652881789025645,0.9465648854961832,0.9548872180451128,0.968503937007874,0.9,0.9424890101372925,0.025750828733243684,149,0.9514563106796117,0.9477611940298507,0.9544364508393285,0.9577114427860697,0.9528413495837151,0.003673842301753674,0.8857142857142857,0.8975265017667845,0.8880866425992779,0.903010033444816,0.893584365881291,0.007009756905172641,85,0.9105691056910569,0.8964705882352941,0.9202312138728324,0.9048178613396005,0.9080221922846959,0.008649483640063934
13,0.0321231484413147,0.0003604295333790808,0.009294748306274414,0.0003112798118411741,True,l1,liblinear,0.8,1000,"(2, 2)","{'lr__fit_intercept': True, 'lr__penalty': 'l1', 'lr__solver': 'liblinear', 'tfidf__max_df': 0.8, 'tfidf__max_features': 1000, 'tfidf__ngram_range': (2, 2)}",0.6040268456375839,0.66,0.6333333333333333,0.6577181208053692,0.6387695749440716,0.022618511781432992,145,0.688195991091314,0.703125,0.7008928571428571,0.6748329621380846,0.6917617025930639,0.011311488223002009,0.9782608695652174,1.0,0.9895833333333334,0.98,0.9869610507246377,0.008675251346258649,53,0.9967741935483871,0.9905660377358491,0.9905362776025236,0.9934426229508196,0.992829782959395,0.002565085622779849,0.7468879668049793,0.7951807228915663,0.7723577235772358,0.7871485943775101,0.7753937519128229,0.018381361446804564,145,0.8142292490118577,0.8224543080939948,0.8209150326797385,0.8037135278514589,0.8153280294092624,0.007384145486018054
14,0.020313739776611328,0.00030412516387179616,0.008803963661193848,0.00026912106357112123,True,l1,liblinear,0.8,3000,"(1, 1)","{'lr__fit_intercept': True, 'lr__penalty': 'l1', 'lr__solver': 'liblinear', 'tfidf__max_df': 0.8, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 1)}",0.825503355704698,0.8733333333333333,0.7866666666666666,0.8926174496644296,0.844530201342282,0.04138904856288194,79,0.844097995545657,0.8482142857142857,0.8571428571428571,0.8329621380846325,0.8456043191218581,0.008689699899447529,0.9389312977099237,0.9562043795620438,0.9672131147540983,0.9236111111111112,0.9464899757842943,0.016616213411038958,109,0.9522613065326633,0.9523809523809523,0.9481481481481482,0.9516539440203562,0.95111108777053,0.0017327192100439924,0.8785714285714286,0.9128919860627178,0.8676470588235294,0.9078498293515358,0.8917400757023028,0.019110299605921595,89,0.8949232585596222,0.89728453364817,0.9003516998827668,0.8883610451306413,0.8952301343053,0.004408218161484741
15,0.032549381256103516,0.00037277478694859286,0.009354948997497559,0.00019999130393647023,True,l1,liblinear,0.8,3000,"(2, 2)","{'lr__fit_intercept': True, 'lr__penalty': 'l1', 'lr__solver': 'liblinear', 'tfidf__max_df': 0.8, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (2, 2)}",0.5906040268456376,0.6266666666666667,0.6133333333333333,0.6241610738255033,0.6136912751677852,0.01424014243194007,149,0.6369710467706013,0.6116071428571429,0.6339285714285714,0.6124721603563474,0.6237447303531658,0.011758379241843071,0.9777777777777777,1.0,0.989247311827957,0.9789473684210527,0.9864931145066969,0.00898494486489901,57,0.9965156794425087,0.9891696750902527,0.9895470383275261,0.9927797833935018,0.9920030440634473,0.0029591867955719837,0.7364016736401674,0.7704918032786885,0.757201646090535,0.7622950819672131,0.756597551244151,0.0125872008278052,149,0.7771739130434783,0.7558620689655172,0.7727891156462585,0.7575757575757576,0.765850213807753,0.009281758810029885
16,0.020427942276000977,0.00012506901001945063,0.008769869804382324,0.0001684791683453776,True,l1,liblinear,0.8,5000,"(1, 1)","{'lr__fit_intercept': True, 'lr__penalty': 'l1', 'lr__solver': 'liblinear', 'tfidf__max_df': 0.8, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 1)}",0.8187919463087249,0.8666666666666667,0.7933333333333333,0.8926174496644296,0.8428523489932886,0.038970254234260586,93,0.8374164810690423,0.8258928571428571,0.8549107142857143,0.8285077951002228,0.8366819618994591,0.011358352832613534,0.9457364341085271,0.935251798561151,0.967479674796748,0.9172413793103448,0.9414273216941926,0.01816858860052934,153,0.9518987341772152,0.9536082474226805,0.9527363184079602,0.9562982005141388,0.9536353751304987,0.0016519382348663067,0.8776978417266187,0.8996539792387543,0.8717948717948718,0.9047619047619048,0.8884771493805373,0.014005415403099745,96,0.8909952606635071,0.8851674641148325,0.9011764705882352,0.8878281622911695,0.891291839414436,0.006068338413894284
17,0.03328770399093628,0.0005705625441392658,0.009456932544708252,0.00012189187746991722,True,l1,liblinear,0.8,5000,"(2, 2)","{'lr__fit_intercept': True, 'lr__penalty': 'l1', 'lr__solver': 'liblinear', 'tfidf__max_df': 0.8, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (2, 2)}",0.5838926174496645,0.62,0.6133333333333333,0.6241610738255033,0.6103467561521253,0.015754059693582824,155,0.621380846325167,0.59375,0.6227678571428571,0.6035634743875279,0.610365544463888,0.012221893368430757,0.9775280898876404,1.0,1.0,0.9789473684210527,0.9891188645771732,0.010892699483338384,41,0.9964285714285714,0.9888475836431226,0.9893617021276596,0.9926739926739927,0.9918279624683366,0.00303506457606982,0.7310924369747899,0.7654320987654321,0.7603305785123967,0.7622950819672131,0.7547875490549579,0.013800842374879779,155,0.7654320987654321,0.7419804741980475,0.7643835616438356,0.7506925207756233,0.7556221638457347,0.009790224611159066
18,0.02020472288131714,0.0005556140854526655,0.008696317672729492,0.00019460448256521185,True,l1,liblinear,0.9,1000,"(1, 1)","{'lr__fit_intercept': True, 'lr__penalty': 'l1', 'lr__solver': 'liblinear', 'tfidf__max_df': 0.9, 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 1)}",0.8322147651006712,0.8466666666666667,0.82,0.9060402684563759,0.8512304250559284,0.03302227126094247,73,0.8730512249443207,0.8504464285714286,0.8883928571428571,0.8574610244988864,0.8673378837893732,0.014652881789025645,0.9465648854961832,0.9548872180451128,0.968503937007874,0.9,0.9424890101372925,0.025750828733243684,149,0.9514563106796117,0.9477611940298507,0.9544364508393285,0.9577114427860697,0.9528413495837151,0.003673842301753674,0.8857142857142857,0.8975265017667845,0.8880866425992779,0.903010033444816,0.893584365881291,0.007009756905172641,85,0.9105691056910569,0.8964705882352941,0.9202312138728324,0.9048178613396005,0.9080221922846959,0.008649483640063934
19,0.03177297115325928,0.00036805251826790223,0.009226799011230469,0.0001465033184284854,True,l1,liblinear,0.9,1000,"(2, 2)","{'lr__fit_intercept': True, 'lr__penalty': 'l1', 'lr__solver': 'liblinear', 'tfidf__max_df': 0.9, 'tfidf__max_features': 1000, 'tfidf__ngram_range': (2, 2)}",0.6040268456375839,0.66,0.6333333333333333,0.6577181208053692,0.6387695749440716,0.022618511781432992,145,0.688195991091314,0.703125,0.7008928571428571,0.6748329621380846,0.6917617025930639,0.011311488223002009,0.9782608695652174,1.0,0.9895833333333334,0.98,0.9869610507246377,0.008675251346258649,53,0.9967741935483871,0.9905660377358491,0.9905362776025236,0.9934426229508196,0.992829782959395,0.002565085622779849,0.7468879668049793,0.7951807228915663,0.7723577235772358,0.7871485943775101,0.7753937519128229,0.018381361446804564,145,0.8142292490118577,0.8224543080939948,0.8209150326797385,0.8037135278514589,0.8153280294092624,0.007384145486018054
20,0.02043294906616211,0.00035967641462303216,0.008693575859069824,8.764363930179334e-05,True,l1,liblinear,0.9,3000,"(1, 1)","{'lr__fit_intercept': True, 'lr__penalty': 'l1', 'lr__solver': 'liblinear', 'tfidf__max_df': 0.9, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 1)}",0.825503355704698,0.8733333333333333,0.7866666666666666,0.8926174496644296,0.844530201342282,0.04138904856288194,79,0.844097995545657,0.8482142857142857,0.8571428571428571,0.8329621380846325,0.8456043191218581,0.008689699899447529,0.9389312977099237,0.9562043795620438,0.9672131147540983,0.9236111111111112,0.9464899757842943,0.016616213411038958,109,0.9522613065326633,0.9523809523809523,0.9481481481481482,0.9516539440203562,0.95111108777053,0.0017327192100439924,0.8785714285714286,0.9128919860627178,0.8676470588235294,0.9078498293515358,0.8917400757023028,0.019110299605921595,89,0.8949232585596222,0.89728453364817,0.9003516998827668,0.8883610451306413,0.8952301343053,0.004408218161484741
21,0.0333978533744812,0.0007867590470306729,0.009524822235107422,0.00015017342640706103,True,l1,liblinear,0.9,3000,"(2, 2)","{'lr__fit_intercept': True, 'lr__penalty': 'l1', 'lr__solver': 'liblinear', 'tfidf__max_df': 0.9, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (2, 2)}",0.5906040268456376,0.6266666666666667,0.6133333333333333,0.6241610738255033,0.6136912751677852,0.01424014243194007,149,0.6414253897550112,0.6116071428571429,0.6339285714285714,0.6124721603563474,0.6248583160992682,0.013093394399794428,0.9777777777777777,1.0,0.989247311827957,0.9789473684210527,0.9864931145066969,0.00898494486489901,57,0.9965397923875432,0.9891696750902527,0.9895470383275261,0.9927797833935018,0.9920090722997059,0.0029683837309911077,0.7364016736401674,0.7704918032786885,0.757201646090535,0.7622950819672131,0.756597551244151,0.0125872008278052,149,0.7804878048780488,0.7558620689655172,0.7727891156462585,0.7575757575757576,0.7666786867663955,0.010342770719414363
