,0,1,accuracy,macro avg,weighted avg
precision,0.9679358717434869,1.0,0.9713004484304932,0.9839679358717435,0.9722206745329222
recall,1.0,0.785234899328859,0.9713004484304932,0.8926174496644295,0.9713004484304932
f1-score,0.9837067209775967,0.8796992481203008,0.9713004484304932,0.9317029845489487,0.9698079645150521
support,966.0,149.0,0.9713004484304932,1115.0,1115.0
