,0,1,accuracy,macro avg,weighted avg
precision,0.9865841073271414,0.9315068493150684,0.979372197309417,0.9590454783211049,0.9792240073775461
recall,0.989648033126294,0.912751677852349,0.979372197309417,0.9511998554893215,0.979372197309417
f1-score,0.9881136950904392,0.9220338983050848,0.979372197309417,0.955073796697762,0.9792833007218134
support,966.0,149.0,0.979372197309417,1115.0,1115.0
