,0,1,accuracy,macro avg,weighted avg
precision,0.9966777408637874,0.6886792452830188,0.9381165919282511,0.842678493073403,0.955519197508151
recall,0.9316770186335404,0.9798657718120806,0.9381165919282511,0.9557713952228104,0.9381165919282511
f1-score,0.9630818619582665,0.8088642659279779,0.9381165919282511,0.8859730639431223,0.9424734119057885
support,966.0,149.0,0.9381165919282511,1115.0,1115.0
