,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_jobs,param_weights,params,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,mean_train_recall,std_train_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,mean_train_precision,std_train_precision,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,mean_train_f1,std_train_f1
0,0.0024201273918151855,0.0004886549275261916,0.03647911548614502,0.0005872995763426445,auto,2,uniform,"{'algorithm': 'auto', 'n_jobs': 2, 'weights': 'uniform'}",0.8657718120805369,0.8,0.82,0.8657718120805369,0.8378859060402684,0.02876845070014511,13,0.8596881959910914,0.8638392857142857,0.8772321428571429,0.8619153674832962,0.865668748011454,0.006835822929821299,0.9416058394160584,0.9917355371900827,0.924812030075188,0.8958333333333334,0.9384966850036656,0.03482626013350132,1,0.9601990049751243,0.9462102689486552,0.9447115384615384,0.9602977667493796,0.9528546447836744,0.00741278628500639,0.9020979020979021,0.8856088560885609,0.8692579505300353,0.8805460750853242,0.8843776959504557,0.011819575724471778,1,0.9071680376028202,0.9031505250875146,0.9097222222222222,0.9084507042253521,0.9071228722844773,0.0024648194620124
1,0.0020884275436401367,9.340494765353e-05,0.015977025032043457,0.00041832136377544296,auto,2,distance,"{'algorithm': 'auto', 'n_jobs': 2, 'weights': 'distance'}",0.8859060402684564,0.8266666666666667,0.82,0.87248322147651,0.8512639821029082,0.028428826994533096,1,0.9910913140311804,0.9888392857142857,0.9888392857142857,0.9910913140311804,0.9899652998727331,0.0011260141584473748,0.9166666666666666,0.9763779527559056,0.8913043478260869,0.8904109589041096,0.9186899815381921,0.03493448110834629,13,1.0,1.0,0.9977477477477478,0.9977578475336323,0.998876398820345,0.0011236068536776744,0.9010238907849829,0.8953068592057761,0.8541666666666666,0.8813559322033898,0.8829633372152038,0.01809957261879128,13,0.9955257270693513,0.9943883277216611,0.9932735426008968,0.994413407821229,0.9944002513032846,0.0007963170640207999
2,0.0021515488624572754,8.853878259259321e-05,0.03652489185333252,0.0005656118250686003,auto,4,uniform,"{'algorithm': 'auto', 'n_jobs': 4, 'weights': 'uniform'}",0.8657718120805369,0.8,0.82,0.8657718120805369,0.8378859060402684,0.02876845070014511,13,0.8596881959910914,0.8638392857142857,0.8772321428571429,0.8619153674832962,0.865668748011454,0.006835822929821299,0.9416058394160584,0.9917355371900827,0.924812030075188,0.8958333333333334,0.9384966850036656,0.03482626013350132,1,0.9601990049751243,0.9462102689486552,0.9447115384615384,0.9602977667493796,0.9528546447836744,0.00741278628500639,0.9020979020979021,0.8856088560885609,0.8692579505300353,0.8805460750853242,0.8843776959504557,0.011819575724471778,1,0.9071680376028202,0.9031505250875146,0.9097222222222222,0.9084507042253521,0.9071228722844773,0.0024648194620124
3,0.002116680145263672,4.505827304438164e-05,0.01615774631500244,0.00016914470787200781,auto,4,distance,"{'algorithm': 'auto', 'n_jobs': 4, 'weights': 'distance'}",0.8859060402684564,0.8266666666666667,0.82,0.87248322147651,0.8512639821029082,0.028428826994533096,1,0.9910913140311804,0.9888392857142857,0.9888392857142857,0.9910913140311804,0.9899652998727331,0.0011260141584473748,0.9166666666666666,0.9763779527559056,0.8913043478260869,0.8904109589041096,0.9186899815381921,0.03493448110834629,13,1.0,1.0,0.9977477477477478,0.9977578475336323,0.998876398820345,0.0011236068536776744,0.9010238907849829,0.8953068592057761,0.8541666666666666,0.8813559322033898,0.8829633372152038,0.01809957261879128,13,0.9955257270693513,0.9943883277216611,0.9932735426008968,0.994413407821229,0.9944002513032846,0.0007963170640207999
4,0.002172708511352539,0.00011123370196651506,0.07141464948654175,0.0555257215860354,auto,6,uniform,"{'algorithm': 'auto', 'n_jobs': 6, 'weights': 'uniform'}",0.8657718120805369,0.8,0.82,0.8657718120805369,0.8378859060402684,0.02876845070014511,13,0.8596881959910914,0.8638392857142857,0.8772321428571429,0.8619153674832962,0.865668748011454,0.006835822929821299,0.9416058394160584,0.9917355371900827,0.924812030075188,0.8958333333333334,0.9384966850036656,0.03482626013350132,1,0.9601990049751243,0.9462102689486552,0.9447115384615384,0.9602977667493796,0.9528546447836744,0.00741278628500639,0.9020979020979021,0.8856088560885609,0.8692579505300353,0.8805460750853242,0.8843776959504557,0.011819575724471778,1,0.9071680376028202,0.9031505250875146,0.9097222222222222,0.9084507042253521,0.9071228722844773,0.0024648194620124
5,0.0022188425064086914,0.00019484068234597554,0.016403496265411377,0.00022527460959234573,auto,6,distance,"{'algorithm': 'auto', 'n_jobs': 6, 'weights': 'distance'}",0.8859060402684564,0.8266666666666667,0.82,0.87248322147651,0.8512639821029082,0.028428826994533096,1,0.9910913140311804,0.9888392857142857,0.9888392857142857,0.9910913140311804,0.9899652998727331,0.0011260141584473748,0.9166666666666666,0.9763779527559056,0.8913043478260869,0.8904109589041096,0.9186899815381921,0.03493448110834629,13,1.0,1.0,0.9977477477477478,0.9977578475336323,0.998876398820345,0.0011236068536776744,0.9010238907849829,0.8953068592057761,0.8541666666666666,0.8813559322033898,0.8829633372152038,0.01809957261879128,13,0.9955257270693513,0.9943883277216611,0.9932735426008968,0.994413407821229,0.9944002513032846,0.0007963170640207999
6,0.006367504596710205,0.007515508050995889,0.03748875856399536,0.001663594550409728,ball_tree,2,uniform,"{'algorithm': 'ball_tree', 'n_jobs': 2, 'weights': 'uniform'}",0.8657718120805369,0.8,0.82,0.8657718120805369,0.8378859060402684,0.02876845070014511,13,0.8596881959910914,0.8638392857142857,0.8772321428571429,0.8619153674832962,0.865668748011454,0.006835822929821299,0.9416058394160584,0.9917355371900827,0.924812030075188,0.8958333333333334,0.9384966850036656,0.03482626013350132,1,0.9601990049751243,0.9462102689486552,0.9447115384615384,0.9602977667493796,0.9528546447836744,0.00741278628500639,0.9020979020979021,0.8856088560885609,0.8692579505300353,0.8805460750853242,0.8843776959504557,0.011819575724471778,1,0.9071680376028202,0.9031505250875146,0.9097222222222222,0.9084507042253521,0.9071228722844773,0.0024648194620124
7,0.001957833766937256,0.0001331389391972428,0.01606816053390503,0.00043095265749525856,ball_tree,2,distance,"{'algorithm': 'ball_tree', 'n_jobs': 2, 'weights': 'distance'}",0.8859060402684564,0.8266666666666667,0.82,0.87248322147651,0.8512639821029082,0.028428826994533096,1,0.9910913140311804,0.9888392857142857,0.9888392857142857,0.9910913140311804,0.9899652998727331,0.0011260141584473748,0.9166666666666666,0.9763779527559056,0.8913043478260869,0.8904109589041096,0.9186899815381921,0.03493448110834629,13,1.0,1.0,0.9977477477477478,0.9977578475336323,0.998876398820345,0.0011236068536776744,0.9010238907849829,0.8953068592057761,0.8541666666666666,0.8813559322033898,0.8829633372152038,0.01809957261879128,13,0.9955257270693513,0.9943883277216611,0.9932735426008968,0.994413407821229,0.9944002513032846,0.0007963170640207999
8,0.0020603537559509277,9.697679368424617e-05,0.036671221256256104,0.0010022044773112906,ball_tree,4,uniform,"{'algorithm': 'ball_tree', 'n_jobs': 4, 'weights': 'uniform'}",0.8657718120805369,0.8,0.82,0.8657718120805369,0.8378859060402684,0.02876845070014511,13,0.8596881959910914,0.8638392857142857,0.8772321428571429,0.8619153674832962,0.865668748011454,0.006835822929821299,0.9416058394160584,0.9917355371900827,0.924812030075188,0.8958333333333334,0.9384966850036656,0.03482626013350132,1,0.9601990049751243,0.9462102689486552,0.9447115384615384,0.9602977667493796,0.9528546447836744,0.00741278628500639,0.9020979020979021,0.8856088560885609,0.8692579505300353,0.8805460750853242,0.8843776959504557,0.011819575724471778,1,0.9071680376028202,0.9031505250875146,0.9097222222222222,0.9084507042253521,0.9071228722844773,0.0024648194620124
9,0.0019297003746032715,4.186788252660031e-05,0.016064167022705078,0.00022566775066958417,ball_tree,4,distance,"{'algorithm': 'ball_tree', 'n_jobs': 4, 'weights': 'distance'}",0.8859060402684564,0.8266666666666667,0.82,0.87248322147651,0.8512639821029082,0.028428826994533096,1,0.9910913140311804,0.9888392857142857,0.9888392857142857,0.9910913140311804,0.9899652998727331,0.0011260141584473748,0.9166666666666666,0.9763779527559056,0.8913043478260869,0.8904109589041096,0.9186899815381921,0.03493448110834629,13,1.0,1.0,0.9977477477477478,0.9977578475336323,0.998876398820345,0.0011236068536776744,0.9010238907849829,0.8953068592057761,0.8541666666666666,0.8813559322033898,0.8829633372152038,0.01809957261879128,13,0.9955257270693513,0.9943883277216611,0.9932735426008968,0.994413407821229,0.9944002513032846,0.0007963170640207999
