,0,1,accuracy,macro avg,weighted avg
precision,0.984646878198567,0.9710144927536232,0.9829596412556054,0.9778306854760951,0.9828251513543548
recall,0.9958592132505176,0.8993288590604027,0.9829596412556054,0.9475940361554602,0.9829596412556054
f1-score,0.9902213072568193,0.9337979094076655,0.9829596412556054,0.9620096083322425,0.9826813195621791
support,966.0,149.0,0.9829596412556054,1115.0,1115.0
