,0,1,accuracy,macro avg,weighted avg
precision,0.995575221238938,0.6872037914691943,0.9372197309417041,0.8413895063540662,0.9543668418347301
recall,0.9316770186335404,0.9731543624161074,0.9372197309417041,0.9524156905248239,0.9372197309417041
f1-score,0.9625668449197861,0.8055555555555556,0.9372197309417041,0.8840612002376709,0.9415850672379292
support,966.0,149.0,0.9372197309417041,1115.0,1115.0
