,0,1,accuracy,macro avg,weighted avg
precision,0.965034965034965,1.0,0.968609865470852,0.9825174825174825,0.9697074226222209
recall,1.0,0.7651006711409396,0.968609865470852,0.8825503355704698,0.968609865470852
f1-score,0.9822064056939501,0.8669201520912547,0.968609865470852,0.9245632788926024,0.966800439965877
support,966.0,149.0,0.968609865470852,1115.0,1115.0
