,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_rf__criterion,param_rf__max_depth,param_rf__n_estimators,param_tfidf__ngram_range,params,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,mean_train_recall,std_train_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,mean_train_precision,std_train_precision,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,mean_train_f1,std_train_f1
0,0.13717561960220337,0.004732847085759221,0.022103190422058105,0.0004924098256036681,gini,5,50,"(1, 1)","{'rf__criterion': 'gini', 'rf__max_depth': 5, 'rf__n_estimators': 50, 'tfidf__ngram_range': (1, 1)}",0.026845637583892617,0.03333333333333333,0.03333333333333333,0.020134228187919462,0.028411633109619687,0.0054638365735211695,53,0.0378619153674833,0.04017857142857143,0.0625,0.07126948775055679,0.052952493636652886,0.01429655371237238,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.05228758169934641,0.06451612903225806,0.06451612903225806,0.039473684210526314,0.05519838099359721,0.010360739578751938,52,0.07296137339055794,0.07725321888412018,0.11764705882352941,0.13305613305613306,0.10022944603858515,0.02575082239398368
1,0.17440879344940186,0.01858149186701924,0.03136473894119263,0.0037422560767692535,gini,5,50,"(2, 2)","{'rf__criterion': 'gini', 'rf__max_depth': 5, 'rf__n_estimators': 50, 'tfidf__ngram_range': (2, 2)}",0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0
2,0.11308038234710693,0.00686834647968294,0.012382030487060547,0.00034179849982141547,gini,5,100,"(1, 1)","{'rf__criterion': 'gini', 'rf__max_depth': 5, 'rf__n_estimators': 100, 'tfidf__ngram_range': (1, 1)}",0.03355704697986577,0.04,0.08,0.0,0.038389261744966444,0.028421531154719404,49,0.0334075723830735,0.04241071428571429,0.078125,0.0,0.03848582166719695,0.027810143500877703,1.0,1.0,1.0,0.0,0.75,0.4330127018922193,57,1.0,1.0,1.0,0.0,0.75,0.4330127018922193,0.06493506493506493,0.07692307692307693,0.14814814814814814,0.0,0.07250157250157249,0.052573006762875144,49,0.06465517241379311,0.08137044967880086,0.14492753623188406,0.0,0.0727382895811195,0.051580027807002125
3,0.11892247200012207,0.0014394372392357757,0.013768374919891357,0.00021231568538718372,gini,5,100,"(2, 2)","{'rf__criterion': 'gini', 'rf__max_depth': 5, 'rf__n_estimators': 100, 'tfidf__ngram_range': (2, 2)}",0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0
4,0.15574711561203003,0.0014522381978674627,0.014576733112335205,0.0005564295162846584,gini,5,150,"(1, 1)","{'rf__criterion': 'gini', 'rf__max_depth': 5, 'rf__n_estimators': 150, 'tfidf__ngram_range': (1, 1)}",0.006711409395973154,0.02666666666666667,0.006666666666666667,0.0,0.010011185682326623,0.009996289518764278,63,0.022271714922048998,0.017857142857142856,0.020089285714285716,0.0378619153674833,0.024520014715240214,0.007859490852652496,1.0,1.0,1.0,0.0,0.75,0.4330127018922193,57,1.0,1.0,1.0,1.0,1.0,0.0,0.013333333333333334,0.05194805194805195,0.013245033112582781,0.0,0.019631604598492017,0.019430704983881598,63,0.04357298474945534,0.03508771929824561,0.03938730853391685,0.07296137339055794,0.04775234649304394,0.014860423477682414
5,0.16204839944839478,0.003408067043829045,0.01601332426071167,0.0002978098761321917,gini,5,150,"(2, 2)","{'rf__criterion': 'gini', 'rf__max_depth': 5, 'rf__n_estimators': 150, 'tfidf__ngram_range': (2, 2)}",0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64,0.0,0.0,0.0,0.0,0.0,0.0
6,0.07781219482421875,0.0017728570440348453,0.011364221572875977,0.0001280916990751143,gini,10,50,"(1, 1)","{'rf__criterion': 'gini', 'rf__max_depth': 10, 'rf__n_estimators': 50, 'tfidf__ngram_range': (1, 1)}",0.4429530201342282,0.37333333333333335,0.38,0.37583892617449666,0.39303131991051454,0.028920496751463243,21,0.44766146993318484,0.4419642857142857,0.46205357142857145,0.48106904231625836,0.4581870923480751,0.01510381969175777,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.6139534883720931,0.5436893203883495,0.5507246376811594,0.5463414634146342,0.5636772274640591,0.029135533019928248,21,0.6184615384615385,0.6130030959752322,0.6320610687022901,0.649624060150376,0.6282874408223591,0.014139051827608275
7,0.08218860626220703,0.0005538527481771427,0.012230157852172852,0.0001462416691768911,gini,10,50,"(2, 2)","{'rf__criterion': 'gini', 'rf__max_depth': 10, 'rf__n_estimators': 50, 'tfidf__ngram_range': (2, 2)}",0.040268456375838924,0.013333333333333334,0.06,0.006711409395973154,0.030078299776286354,0.02136324473846603,51,0.07349665924276169,0.03125,0.05357142857142857,0.0779510022271715,0.05906727251034044,0.01849869860292555,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.07741935483870968,0.02631578947368421,0.11320754716981132,0.013333333333333334,0.05756900620388464,0.04007256509145787,51,0.13692946058091288,0.06060606060606061,0.1016949152542373,0.1446280991735537,0.11096463390369113,0.03327654844919417
8,0.13126468658447266,0.0009814292809251404,0.012901127338409424,4.6967363284225496e-05,gini,10,100,"(1, 1)","{'rf__criterion': 'gini', 'rf__max_depth': 10, 'rf__n_estimators': 100, 'tfidf__ngram_range': (1, 1)}",0.3691275167785235,0.26,0.36,0.348993288590604,0.3345302013422819,0.04361655844955318,26,0.3741648106904232,0.34151785714285715,0.40625,0.4610244988864143,0.39573929167992367,0.04409664233988752,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.5392156862745098,0.4126984126984127,0.5294117647058824,0.5174129353233831,0.49968469975054697,0.050811666372150045,26,0.5445705024311183,0.5091514143094842,0.5777777777777777,0.6310975609756098,0.5656493138734975,0.04490796597594153
9,0.13174736499786377,0.0005301540013111667,0.014217972755432129,5.121464719539694e-05,gini,10,100,"(2, 2)","{'rf__criterion': 'gini', 'rf__max_depth': 10, 'rf__n_estimators': 100, 'tfidf__ngram_range': (2, 2)}",0.020134228187919462,0.013333333333333334,0.02666666666666667,0.013422818791946308,0.018389261744966443,0.005517887001243806,58,0.0467706013363029,0.033482142857142856,0.044642857142857144,0.07126948775055679,0.049041272271714925,0.013790232717905061,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.039473684210526314,0.02631578947368421,0.05194805194805195,0.026490066225165563,0.03605689796435701,0.010613866723991002,57,0.08936170212765958,0.06479481641468683,0.08547008547008547,0.13305613305613306,0.09317068426714123,0.024848774961008402
