,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_nb__alpha,param_nb__fit_prior,param_tfidf__max_features,params,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,mean_train_recall,std_train_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,mean_train_precision,std_train_precision,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,mean_train_f1,std_train_f1
0,0.021704554557800293,0.002216717112704775,0.008736848831176758,0.00082744978924887,0.5,True,1000,"{'nb__alpha': 0.5, 'nb__fit_prior': True, 'tfidf__max_features': 1000}",0.8523489932885906,0.92,0.8933333333333333,0.912751677852349,0.8946085011185682,0.026274489206982686,118,0.9354120267260579,0.9151785714285714,0.90625,0.9220489977728286,0.9197223989818645,0.01065046224168333,0.9694656488549618,0.9928057553956835,0.9925925925925926,0.9379310344827586,0.9731987578314991,0.022462766932507056,113,0.9859154929577465,0.9761904761904762,0.9854368932038835,0.9857142857142858,0.9833142870165981,0.004116442754668239,0.9071428571428571,0.9550173010380623,0.9403508771929825,0.9251700680272109,0.9319202758502783,0.017776623659895293,1,0.96,0.9447004608294931,0.9441860465116279,0.952819332566168,0.9504264599768222,0.0065020830173110975
1,0.01993495225906372,0.001060054789419044,0.00829780101776123,0.00024829669639145395,0.5,True,3000,"{'nb__alpha': 0.5, 'nb__fit_prior': True, 'tfidf__max_features': 3000}",0.8322147651006712,0.9066666666666666,0.8533333333333334,0.8926174496644296,0.8712080536912752,0.02981466775371925,120,0.9465478841870824,0.921875,0.9241071428571429,0.9420935412026726,0.9336558920617245,0.010809317891615928,0.9763779527559056,0.9927007299270073,1.0,0.9708029197080292,0.9849704005977356,0.011834214426888565,111,1.0,0.9975845410628019,0.9975903614457832,1.0,0.9987937256271463,0.001206276128094604,0.8985507246376812,0.9477351916376306,0.920863309352518,0.9300699300699301,0.92430478892444,0.017729468637413943,3,0.9725400457665904,0.9582366589327146,0.9594438006952491,0.9701834862385321,0.9651009979082715,0.006330366311359309
2,0.019281208515167236,0.0007131515063058552,0.008598744869232178,0.0003258128532696978,0.5,True,5000,"{'nb__alpha': 0.5, 'nb__fit_prior': True, 'tfidf__max_features': 5000}",0.8187919463087249,0.8666666666666667,0.8533333333333334,0.8993288590604027,0.8595302013422819,0.0288655022898864,121,0.955456570155902,0.9441964285714286,0.9419642857142857,0.9576837416481069,0.9498252565224308,0.006836410751583832,0.9838709677419355,1.0,1.0,0.9852941176470589,0.9922912713472486,0.007725132160572213,109,1.0,0.9976415094339622,1.0,0.9976798143851509,0.9988303309547784,0.001169747444541172,0.8937728937728938,0.9285714285714286,0.920863309352518,0.9403508771929825,0.9208896272224558,0.01712504195604552,4,0.9772209567198178,0.9701834862385321,0.9701149425287356,0.9772727272727273,0.9736980281899532,0.003548943749302084
3,0.019206881523132324,0.000492460327683904,0.00818723440170288,4.745409484987967e-05,0.5,False,1000,"{'nb__alpha': 0.5, 'nb__fit_prior': False, 'tfidf__max_features': 1000}",0.9328859060402684,0.9666666666666667,0.96,0.9731543624161074,0.9581767337807606,0.015324478681598093,9,0.9866369710467706,0.9888392857142857,0.9776785714285714,0.977728285077951,0.9827207783168946,0.0050774387567703696,0.7277486910994765,0.7142857142857143,0.75,0.6971153846153846,0.7222874475001438,0.019335661561074885,193,0.7704347826086957,0.7677642980935875,0.7538726333907056,0.789568345323741,0.7704100148541824,0.012723276333833178,0.8176470588235294,0.8215297450424929,0.8421052631578947,0.8123249299719888,0.8234017492489765,0.011282045686376736,95,0.865234375,0.864390243902439,0.8513119533527697,0.8736318407960199,0.8636421032628071,0.00798314625458234
4,0.024467408657073975,0.005109669949760796,0.009830474853515625,0.0013358184801238332,0.5,False,3000,"{'nb__alpha': 0.5, 'nb__fit_prior': False, 'tfidf__max_features': 3000}",0.9463087248322147,0.9533333333333334,0.9666666666666667,0.9530201342281879,0.9548322147651007,0.0073863795912686835,11,0.9866369710467706,0.9866071428571429,0.9933035714285714,0.9821826280623608,0.9871825783487115,0.003971614044773212,0.7421052631578947,0.7295918367346939,0.7671957671957672,0.6859903381642513,0.7312208013131517,0.0294156336076878,192,0.8203703703703704,0.8200371057513914,0.8032490974729242,0.8258426966292135,0.8173748175559749,0.00847499349502674,0.831858407079646,0.8265895953757225,0.855457227138643,0.797752808988764,0.8279145096456939,0.020528268303774185,94,0.8958543983822043,0.8956433637284701,0.8882235528942116,0.8972533062054934,0.8942436553025949,0.003530343769051224
5,0.020335733890533447,0.0011001831645733328,0.008803188800811768,0.0006242379934577604,0.5,False,5000,"{'nb__alpha': 0.5, 'nb__fit_prior': False, 'tfidf__max_features': 5000}",0.9328859060402684,0.9533333333333334,0.9666666666666667,0.9530201342281879,0.9514765100671141,0.012064223802161128,39,0.9888641425389755,0.9910714285714286,0.9910714285714286,0.9888641425389755,0.989967785555202,0.0011036430162265631,0.7473118279569892,0.7333333333333333,0.7671957671957672,0.7029702970297029,0.7377028063789481,0.023385933452726694,190,0.8457142857142858,0.8393194706994329,0.8299065420560747,0.8654970760233918,0.8451093436232961,0.013044859057480788,0.8298507462686567,0.8289855072463768,0.855457227138643,0.8091168091168092,0.8308525724426213,0.016449331507663555,92,0.9117043121149897,0.9089048106448311,0.9033570701932858,0.9230769230769231,0.9117607790075075,0.0071909175741444314
6,0.02018970251083374,0.0008765984790618806,0.008408844470977783,0.00039409034721204307,1.0,True,1000,"{'nb__alpha': 1.0, 'nb__fit_prior': True, 'tfidf__max_features': 1000}",0.8389261744966443,0.92,0.8733333333333333,0.8993288590604027,0.8828970917225951,0.030296599713107067,119,0.9220489977728286,0.9017857142857143,0.890625,0.8997772828507795,0.9035592487273306,0.011474039177780226,0.984251968503937,1.0,0.9924242424242424,0.9571428571428572,0.9834547670177591,0.016179835868903824,112,0.9928057553956835,0.9877750611246944,0.9925373134328358,0.9975308641975309,0.9926622485376861,0.003450515260497589,0.9057971014492754,0.9583333333333334,0.9290780141843972,0.9273356401384083,0.9301360222763536,0.01868443830512456,2,0.9561200923787528,0.9428238039673279,0.9388235294117647,0.9461358313817331,0.9459758142848946,0.006403560171210663
7,0.020074903964996338,0.0004585646961909125,0.008658409118652344,9.496170403487332e-05,1.0,True,3000,"{'nb__alpha': 1.0, 'nb__fit_prior': True, 'tfidf__max_features': 3000}",0.7718120805369127,0.8533333333333334,0.8266666666666667,0.8657718120805369,0.8293959731543623,0.036123235848974436,124,0.8997772828507795,0.8816964285714286,0.8883928571428571,0.8864142538975501,0.8890702056156539,0.0066431726475267,1.0,1.0,1.0,0.9847328244274809,0.9961832061068703,0.00661088094491939,106,1.0,1.0,1.0,1.0,1.0,0.0,0.8712121212121212,0.920863309352518,0.9051094890510949,0.9214285714285714,0.9046533727610763,0.02038807667402078,7,0.9472450175849941,0.9371293001186239,0.9408983451536643,0.9397874852420307,0.9412650370248283,0.003714233078864603
8,0.019869983196258545,0.0011663853136959824,0.008307039737701416,0.00021535436959445558,1.0,True,5000,"{'nb__alpha': 1.0, 'nb__fit_prior': True, 'tfidf__max_features': 5000}",0.738255033557047,0.7933333333333333,0.7933333333333333,0.8187919463087249,0.7859284116331097,0.029421202470885942,126,0.8864142538975501,0.8638392857142857,0.8616071428571429,0.8708240534521158,0.8706711839802737,0.009704371371890756,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,0.0,0.8494208494208494,0.8847583643122676,0.8847583643122676,0.9003690036900369,0.8798266454338555,0.018675817358961937,9,0.9397874852420307,0.9269461077844311,0.9256594724220624,0.930952380952381,0.9308363616002262,0.005524272152402617
9,0.019948899745941162,0.0004462648873958755,0.008385896682739258,0.00022536729794206045,1.0,False,1000,"{'nb__alpha': 1.0, 'nb__fit_prior': False, 'tfidf__max_features': 1000}",0.9395973154362416,0.9666666666666667,0.9666666666666667,0.9731543624161074,0.9615212527964206,0.012931925964342516,1,0.9866369710467706,0.9866071428571429,0.9776785714285714,0.977728285077951,0.982162742602609,0.0044593614579082974,0.7035175879396985,0.7004830917874396,0.725,0.6621004566210046,0.6977752840870357,0.022661557467169878,194,0.7470489038785835,0.7466216216216216,0.7227722772277227,0.7453310696095077,0.7404434680843588,0.010222047227951853,0.8045977011494253,0.8123249299719888,0.8285714285714286,0.7880434782608695,0.8083843844884281,0.014587118327356763,98,0.8502879078694817,0.85,0.8311195445920304,0.8458574181117534,0.8443162176433163,0.007818151068856917
