,precision,recall,f1-score,support
0,0.9845360824742269,0.9886128364389234,0.9865702479338843,966.0
1,0.9241379310344827,0.8993288590604027,0.9115646258503401,149.0
accuracy,0.9766816143497757,0.9766816143497757,0.9766816143497757,0.9766816143497757
macro avg,0.9543370067543548,0.9439708477496631,0.9490674368921121,1115.0
weighted avg,0.9764649393670323,0.9766816143497757,0.9765470751173388,1115.0
