,precision,recall,f1-score,support
0,0.9907312049433573,0.9958592132505176,0.9932885906040269,966.0
1,0.9722222222222222,0.9395973154362416,0.9556313993174061,149.0
accuracy,0.9883408071748879,0.9883408071748879,0.9883408071748879,0.9883408071748879
macro avg,0.9814767135827898,0.9677282643433796,0.9744599949607164,1115.0
weighted avg,0.9882578072523716,0.9883408071748879,0.9882563740105682,1115.0
