,precision,recall,f1-score,support
0,0.9806122448979592,0.994824016563147,0.987667009249743,966.0
1,0.9629629629629629,0.87248322147651,0.9154929577464789,149.0
accuracy,0.97847533632287,0.97847533632287,0.97847533632287,0.97847533632287
macro avg,0.971787603930461,0.9336536190198286,0.9515799834981109,1115.0
weighted avg,0.9782537309891569,0.97847533632287,0.9780222256856298,1115.0
